ttle,year,year,certificate,duration,genre,genre 2,genre 3,stars,votes,description,rating
Vrgn Rver,2019,2019,TV14,44 mn,Drama, Romance,,"['Martn Henderson, ', 'Tm Matheson, ', 'Alexandra Breckenrdge, ', 'Coln Lawrence']","41,276","Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.",8.2
Famly Guy,1999,1999,TVMA,22 mn,Anmaton, Comedy,,"['Seth MacFarlane, ', 'Alex Borsten, ', 'Seth Green, ', 'Mla Kuns']","334,757",A gigolo's life begins to unravel when he becomes involved in a client's family affairs and violates the fundamental rule of his job: don't fall in love.,6.3
Fargo,2014,2014,TVMA,53 mn,Crme, Drama, Thrller,"['Blly Bob Thornton, ', 'Martn Freeman, ', 'Allson Tolman, ', 'Coln Hanks']","369,918",A father recounts to his children  through a series of flashbacks  the journey he and his four best friends took leading up to him meeting their mother.,8.3
Anmal Kngdom,2016,20162022,TVMA,60 mn,Crme, Drama,,"['Shawn Hatosy, ', 'Ben Robson, ', 'Jake Weary, ', 'Fnn Cole']","37,944",Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,
Daro de un Ggoló,2022,2022,TVMA,50 mn,Drama,,,"['Jesús Castro, ', 'Vctora Whte, ', 'Fabola Campomanes, ', 'Francsco Dens']",538,"A fresh look at Hartley High over 20 years on. With her new friends  outsiders Quinni and Darren  Amerie must repair her reputation, while navigating love, sex, and heartbreak.",7.6
How  Met Your Mother,2005,20052014,TV14,22 mn,Comedy, Romance,,"['Josh Radnor, ', 'Jason Segel, ', 'Cobe Smulders, ', 'Nel Patrck Harrs']","676,121","Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart and solve the mystery that embroiled her parents.",
The School for Good and Evl,2022,2022,PG13,147 mn,Acton, Drama, Fantasy,"['Paul Feg', '| ', '    Stars:', 'Cate Blanchett, ', 'Charlze Theron, ', 'Mchelle Yeoh, ', 'Rachel Bloom']",,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,8.5
Heartbreak Hgh,2022,2022,TVMA,50 mn,Drama, Romance,,"['Ayesha Madon, ', 'James Majoos, ', 'Chloe Hayden, ', 'Asher Yasbncek']","1,502","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",8.6
Wednesday,2022,2022,,,Comedy, Famly, Fantasy,"['Jenna Ortega, ', 'Chrstna Rcc, ', 'Catherne ZetaJones, ', 'Lus Guzmán']",,Revolves around a family of New York cops.,7.7
Communty,2009,20092015,TV14,22 mn,Comedy,,,"['Joel McHale, ', 'Danny Pud, ', 'Donald Glover, ', 'Chevy Chase']","261,138","Bee, an unemployed woman is living a normal life, until a grumpy companion named PuppyCat arrives. Follow Bee and and PuppyCat as they travel between reality and ""Fishbowl Space"".",8.2
Daredevl,2015,20152018,TVMA,54 mn,Acton, Crme, Drama,"['Charle Cox, ', ""Vncent D'Onofro, "", 'Deborah Ann Woll, ', 'Elden Henson']","434,141",Follows a couple who appear to be living the perfect life after their son is declared healthy following a longterm illness.,6.5
Blue Bloods,2010,2010,TV14,43 mn,Crme, Drama, Mystery,"['Donne Wahlberg, ', 'Brdget Moynahan, ', 'Wll Estes, ', 'Len Carou']","40,037","After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.",8.5
Bee and PuppyCat,2013,2013,TVPG,7 mn,Anmaton, Short, Acton,"['Allyn Rachel, ', 'Alexander James Rodrguez, ', 'Kent Osborne, ', 'Ashly Burch']","2,385",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,7.4
Lovng Adults,2022,2022,TVMA,104 mn,Crme, Drama, Thrller,"['Barbara TopsøeRothenborg', '| ', '    Stars:', 'Dar Salm, ', 'Sonja Rchter, ', 'Sus Wlkns, ', 'Morten Buran']","5,861",A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920s.,8
Schtt's Creek,2015,20152020,TV14,22 mn,Comedy,,,"['Eugene Levy, ', ""Catherne O'Hara, "", 'Dan Levy, ', 'Anne Murphy']","118,638","Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League championsand the power that will tear them apart.",9
Sng 2,2021,2021,PG,110 mn,Anmaton, Adventure, Comedy,"['Garth Jennngs, ', 'Chrstophe Lourdelet', '| ', '    Stars:', 'Matthew McConaughey, ', 'Reese Wtherspoon, ', 'Scarlett Johansson, ', 'Tor Kelly']","65,399",What happened to AnneElisabeth Hagen? Where is she? Was she kidnapped by money launderers or is it her husband who may have made her disappear?,6.1
RRR,2022,2022,Not Rated,187 mn,Acton, Drama,,"['S.S. Rajamoul', '| ', '    Stars:', 'N.T. Rama Rao Jr., ', 'Ram Charan Teja, ', 'Ajay Devgn, ', 'Ala Bhatt']","107,203","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",8.8
Arcane,2021,2021,TV14,41 mn,Anmaton, Acton, Adventure,"['Halee Stenfeld, ', 'Kevn Alejandro, ', 'Jason Spsak, ', 'Terr Douglas']","196,697",A young German soldier's terrifying experiences and distress on the western front during World War I.,8.3
The Lørenskog Dsappearance,2021,2021,TVMA,,Documentary, Crme,,[],668,"When Mr. Harrigan dies, the teen who befriended and did odd jobs for him, puts his smart phone in his pocket before burial and when the lonely youth leaves his dead friend a message, he is shocked to get a return text.",
The Lord of the Rngs: The Two Towers,2002,2002,PG13,179 mn,Acton, Adventure, Drama,"['Peter Jackson', '| ', '    Stars:', 'Eljah Wood, ', 'an McKellen, ', 'Vggo Mortensen, ', 'Orlando Bloom']","1,642,708","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his coworkers and friends as he delves deeper into his violent, hedonistic fantasies.",7.6
All Quet on the Western Front,2022,2022,R,147 mn,Acton, Drama, War,"['Edward Berger', '| ', '    Stars:', 'Danel Brühl, ', 'Albrecht Schuch, ', 'Sebastan Hülk, ', 'Anton von Lucke']",199,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",7.8
Mr. Harrgan's Phone,2022,2022,PG13,104 mn,Horror,,,"['John Lee Hancock', '| ', '    Stars:', 'Krby HowellBaptste, ', 'Donald Sutherland, ', 'Jaeden Martell, ', 'Joe Tppett']",,"After the fall of the Berlin Wall, a former spy killer is set free and embarks on a revenge spree against the people who conspired to betray her.",7.5
Amercan Psycho,2000,2000,R,102 mn,Crme, Drama, Horror,"['Mary Harron', '| ', '    Stars:', 'Chrstan Bale, ', 'Justn Theroux, ', 'Josh Lucas, ', 'Bll Sage']","598,117","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",6.6
The Hobbt: An Unexpected Journey,2012,2012,PG13,169 mn,Adventure, Fantasy,,"['Peter Jackson', '| ', '    Stars:', 'Martn Freeman, ', 'an McKellen, ', 'Rchard Armtage, ', 'Andy Serks']","820,021",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,8.6
Kleo,2022,2022,TVMA,44 mn,Acton, Crme, Drama,"['Jella Haase, ', 'Dmtrj Schaad, ', 'Julus Feldmeer, ', 'Vncent Redetzk']","5,517","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",8.7
Rverdale,2017,2017,TV14,45 mn,Crme, Drama, Mystery,"['Ll Renhart, ', 'Camla Mendes, ', 'Cole Sprouse, ', 'K.J. Apa']","143,861","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.",7.6
Sons of Anarchy,2008,20082014,TVMA,45 mn,Crme, Drama, Thrller,"['Charle Hunnam, ', 'Katey Sagal, ', 'Mark Boone Junor, ', 'Km Coates']","294,616",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,8.6
Mad Men,2007,20072015,TV14,47 mn,Drama,,,"['Jon Hamm, ', 'Elsabeth Moss, ', 'Vncent Kartheser, ', 'January Jones']","237,030",Story of the Milwaukee Monster told from the perspective of the victims and police incompetency that allowed the Wisconsin native to go on a multiyear killing spree.,8.5
The Flash,2014,20142023,TVPG,43 mn,Acton, Adventure, Drama,"['Grant Gustn, ', 'Candce Patton, ', 'Danelle Panabaker, ', 'Carlos Valdes']","344,187","Elliot, a brilliant but highly unstable young cybersecurity engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",8.6
Archer,2009,2009,TVMA,22 mn,Anmaton, Acton, Comedy,"['H. Jon Benjamn, ', 'Judy Greer, ', 'Amber Nash, ', 'Chrs Parnell']","153,880","A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.",8.1
Dahmer  Monster: The Jeffrey Dahmer Story,2022,2022,TVMA,534 mn,Bography, Crme, Drama,"['Evan Peters, ', 'Rchard Jenkns, ', 'Molly Rngwald, ', 'Necy Nash']","5,580","A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",7.7
Mr. Robot,2015,20152019,TVMA,49 mn,Crme, Drama, Thrller,"['Ram Malek, ', 'Chrstan Slater, ', 'Carly Chakn, ', 'Martn Wallström']","383,470","On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career.",6.3
That '70s Show,1998,19982006,TV14,22 mn,Comedy, Drama, Romance,"['Topher Grace, ', 'Laura Prepon, ', 'Mla Kuns, ', 'Danny Masterson']","169,768","Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",3.3
