ttle,year,year,certificate,duration,genre,genre 2,genre 3,stars,votes,description,rating
Top Gear,2002,2002,TVPG,51 mn,Adventure, Comedy, RealtyTV,"['Bran Klen, ', 'Phl Churchward, ', 'Babak Zand Goodarz', '| ', '    Stars:', 'Jeremy Clarkson, ', 'Rchard Hammond, ', 'James May, ', 'Ben Collns']",245,"In her dreams, Bean confronts her inner ""Bad Bean,"" but the evil doppelgänger conceals a sinister plot. Derek, Bear Boy and Freckles get captured.",7.6
Snowpercer,2020,20202023,TVMA,47 mn,Acton, Drama, ScF,"['Chrstoph Schrewe', '| ', '    Stars:', 'Jennfer Connelly, ', 'Daveed Dggs, ', 'Mckey Sumner, ', 'Alson Wrght']","1,444","After being snatched off the street, Monse, Jamal, Ruby and Cesar come face to face with their kidnapper, who makes them an offer they can't refuse.",7.6
The Hauntng of Bly Manor,2020,2020,TVMA,56 mn,Drama, Horror, Mystery,"['Carán Foy', '| ', '    Stars:', 'Vctora Pedrett, ', 'Olver JacksonCohen, ', 'Amela Eve, ', ""T'Na Mller""]","3,890",Mr. Iglesias gives his class a college prep pep talk that backfires so spectacularly he begins to question his own career path.,7.3
Mortel,2019,20192021,TVMA,49 mn,Crme, Drama, Fantasy,"['Edouard Saler', '| ', '    Stars:', 'Blal Gharb, ', 'Carl Malapa, ', 'Némo Schffman, ', 'Manon Bresch']",73,"If you're not worried about a looming global pandemic, you probably should be. Are we prepared for an outbreak? Bill Gates and other experts weigh in.",8.5
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Chrstna Manrque, ', 'Dana Huh, ', 'Davd Dwooman Woo', '| ', '    Stars:', 'Amee Carrero, ', 'Karen Fukuhara, ', 'AJ Mchalka, ', 'Marcus Scrbner']","1,017",Ambrose urges the NYPD to investigate Jamie for a new crime; Jamie struggles to salvage his life.,6.5
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Roy Burdne, ', 'Mandy Clotworthy', '| ', '    Stars:', 'Amee Carrero, ', 'Karen Fukuhara, ', 'AJ Mchalka, ', 'Marcus Scrbner']",996,"As Ginny's popularity grows. so do her questions about her own identity; after his night out with Georgia, Paul discovers that he has new political competition.",7.4
SheRa and the Prncesses of Power,2018,20182020,TVY7,24 mn,Anmaton, Acton, Adventure,"['Jen Bennett', '| ', '    Stars:', 'Amee Carrero, ', 'Karen Fukuhara, ', 'AJ Mchalka, ', 'Marcus Scrbner']",988,Unplanned visitors cause headaches for Georgia and trust issues for Ginny as more of Georgia's checkered past is brought to light.,7.7
The Snner,2017,20172021,TVMA,44 mn,Crme, Drama, Mystery,"['Andrew McCarthy', '| ', '    Stars:', 'Bll Pullman, ', 'Jessca Hecht, ', 'Parsa FtzHenley, ', 'Edde Martnez']","1,703","On Ginny's 16th birthday, Georgia tries to smooth things over by organizing a surprise party for her, but Ginny and her friends have other (big) plans.",7.6
Snowpercer,2020,20202023,TVMA,46 mn,Acton, Drama, ScF,"['Lesle Hope', '| ', '    Stars:', 'Jennfer Connelly, ', 'Daveed Dggs, ', 'ddo Goldberg, ', 'Rowan Blanchard']","1,472","Ginny draws inspiration from her dad when writing an essay she hopes to submit to a prestigious contest, but the result breeds friction with Hunter.",7.8
Snowpercer,2020,20202023,TVMA,47 mn,Acton, Drama, ScF,"['Rebecca Rodrguez', '| ', '    Stars:', 'Daveed Dggs, ', 'Mckey Sumner, ', 'Alson Wrght, ', 'Lena Hall']",988,"While Ginny and Georgia are each caught between two men, Max and Marcus face different sorts of painful situations.",7.8
Snowpercer,2020,20202023,TVMA,48 mn,Acton, Drama, ScF,"['Rebecca Rodrguez', '| ', '    Stars:', 'Daveed Dggs, ', 'Mckey Sumner, ', 'Alson Wrght, ', 'Lena Hall']","1,108","As election day approaches for Paul, secrets start to catch up with Ginny and Georgia, and the fallout for both could be steep.",7.5
Snowpercer,2020,20202023,TVMA,47 mn,Acton, Drama, ScF,"['Clare Klner', '| ', '    Stars:', 'Daveed Dggs, ', 'Mckey Sumner, ', 'Alson Wrght, ', 'Lena Hall']","1,012","Representing Shibuya, Haruo faces players from Mizonokuchi, including Koharu, in a 10person Street Fighter Zero 2 arcade battle.",7.6
Snowpercer,2020,20202023,TVMA,47 mn,Acton, Drama, ScF,"['Clare Klner', '| ', '    Stars:', 'Jennfer Connelly, ', 'Daveed Dggs, ', 'Mckey Sumner, ', 'Alson Wrght']","1,210","Promoted to detective over his best friend, Reza, Kurt joins Hemberg on the case. Clues lead them to a notorious smuggler and a popular nightclub.",7.1
Ghost n the Shell SAC_2045,2020,2020,TV14,25 mn,Anmaton, Acton, Crme,"['Shnj Aramak, ', 'Kenj Kamyama', '| ', '    Stars:', 'Ray Chase, ', 'Rchard Epcar, ', 'Melssa Fahn, ', 'Crspn Freeman']",162,"Johnny loves his Mini'mons! Johnny won't take a bath, and he's really starting to smell.",6.1
Snowpercer,2020,20202023,TVMA,48 mn,Acton, Drama, ScF,"['Chrstoph Schrewe', '| ', '    Stars:', 'Jennfer Connelly, ', 'Daveed Dggs, ', 'Mckey Sumner, ', 'Alson Wrght']","1,227","Panic grips the students in the aftermath of the chaotic launch, and Anan takes control of the mob. Kraam must be courageous enough to face the truth.",7.1
Snowpercer,2020,20202023,TVMA,45 mn,Acton, Drama, ScF,"['Davd Frazee', '| ', '    Stars:', 'Jennfer Connelly, ', 'Daveed Dggs, ', 'Mckey Sumner, ', 'Alson Wrght']","1,149","Kurt interviews illegal immigrants enrolled in a program funded by Gustav Munck, and soon finds a link between a pregnant refugee and the killer.",7.4
Snowpercer,2020,20202023,TVMA,47 mn,Acton, Drama, ScF,"['Davd Frazee', '| ', '    Stars:', 'Daveed Dggs, ', 'Mckey Sumner, ', 'Alson Wrght, ', 'Lena Hall']","1,096","Amid financial strife, Abraham Quintanilla prioritizes his 8yearold daughter Selena's musical talent and has her start a band with her siblings.",7
Explaned,2018,2018,TVMA,,Documentary,,,"['Karle Kloss, ', 'Zeynep Tüfekç, ', 'Alan Kay, ', 'Tm Wu']",331,"Brother AB struggles to find Selena a song for a new single, while Abraham tries to convince a music executive to produce a record with the band.",7.2
The Poltcan,2019,2019,TVMA,44 mn,Comedy, Drama,,"['Gwyneth HorderPayton', '| ', '    Stars:', 'Ben Platt, ', 'Judth Lght, ', 'Lucy Boynton, ', 'Zoey Deutch']",518,"Selena is nominated for Female Vocalist of the Year at the Tejano Music Awards. The band travels to Matamoros, Mexico, for an important performance.",7.5
The Poltcan,2019,2019,TVMA,41 mn,Comedy, Drama,,"['Davd Petrarca', '| ', '    Stars:', 'Ben Platt, ', 'Judth Lght, ', 'Lucy Boynton, ', 'Zoey Deutch']",515,"As the invasion approaches, Aang has recurring nightmares about being unprepared to face the Firelord. Zuko feels the perks and pressures of being the prince again.",7.6
The Poltcan,2019,2019,TVMA,28 mn,Comedy, Drama,,"['an Brennan', '| ', '    Stars:', 'Ben Platt, ', 'Judth Lght, ', 'Lucy Boynton, ', 'Zoey Deutch']",584,"Selena y Los Dinos embark on a strenuous crosscountry music tour, which puts strain on the singer's vocal cords, so the band searches for a solution.",7.3
The Poltcan,2019,2019,TVMA,35 mn,Comedy, Drama,,"['Tna Mabry', '| ', '    Stars:', 'Ben Platt, ', 'Judth Lght, ', 'Lucy Boynton, ', 'Zoey Deutch']",473,"Abraham weighs two offers from major record labels. As Selena and her band garner more attention, a dashing new guitarist joins the family.",7.5
The Poltcan,2019,2019,TVMA,44 mn,Comedy, Drama,,"['Gwyneth HorderPayton', '| ', '    Stars:', 'Ben Platt, ', 'Judth Lght, ', 'Lucy Boynton, ', 'Zoey Deutch']",559,"While preparing the new album, the Quintanilla family clashes with the record label's decisions, especially when it comes to Selena's fashion style.",7.2
Snowpercer,2020,20202023,TVMA,48 mn,Acton, Drama, ScF,"['Lesle Hope', '| ', '    Stars:', 'Daveed Dggs, ', 'Mckey Sumner, ', 'Alson Wrght, ', 'Lena Hall']","1,019",Add a Plot,6.2
The Stranded,2019,2019,TVMA,46 mn,Adventure, Drama, Mystery,"['Sophon Sakdaphst', '| ', '    Stars:', 'Papangkorn Lerkchaleampote, ', 'Chutawut Phatrakampol, ', 'Oabnth Wwattanawarang, ', 'Chayant Chansangavej']",74,"Geralt sets off with Ciri on a journey that leads him to an old friend. After the battle of Sodden, Tissaia shows no mercy in her search of information.",8.5
Good Grls,2018,20182021,TV14,42 mn,Comedy, Crme, Drama,"['Lee Fredlander', '| ', '    Stars:', 'Chrstna Hendrcks, ', 'Retta, ', 'Mae Whtman, ', 'Reno Wlson']",428,"After an acquaintance is caught in a police raid, Chiara and Ludo worry for their safety; a private investigator offers a deal to Damiano.",7.3
Stranger Thngs,2016,2016,TV14,77 mn,Drama, Fantasy, Horror,"['Matt Duffer, ', 'Ross Duffer', '| ', '    Stars:', 'Wnona Ryder, ', 'Davd Harbour, ', 'Mlle Bobby Brown, ', 'Fnn Wolfhard']","18,101",Add a Plot,6.8
Stranger Thngs,2016,2016,TV14,63 mn,Drama, Fantasy, Horror,"['Shawn Levy', '| ', '    Stars:', 'Wnona Ryder, ', 'Davd Harbour, ', 'Mlle Bobby Brown, ', 'Fnn Wolfhard']","17,417",Add a Plot,6.7
Stranger Thngs,2016,2016,TV14,78 mn,Drama, Fantasy, Horror,"['Shawn Levy', '| ', '    Stars:', 'Wnona Ryder, ', 'Davd Harbour, ', 'Mlle Bobby Brown, ', 'Fnn Wolfhard']","32,816","When an attack hits a Johannesburg train station, Ekaterinburg spots an opportunity. Queen confronts Dr. Sid about her mother's death.",6.8
Stranger Thngs,2016,2016,TV14,76 mn,Drama, Fantasy, Horror,"['Nmród Antal', '| ', '    Stars:', 'Wnona Ryder, ', 'Davd Harbour, ', 'Mlle Bobby Brown, ', 'Fnn Wolfhard']","16,606",Queen and her teammates take matters into their own hands to stop an impending attack. A dangerous visitor knocks on Mazet's door.,6.6
Stranger Thngs,2016,2016,TV14,75 mn,Drama, Fantasy, Horror,"['Nmród Antal', '| ', '    Stars:', 'Wnona Ryder, ', 'Davd Harbour, ', 'Mlle Bobby Brown, ', 'Fnn Wolfhard']","16,937",Anissa and Jefferson have a hearttoheart and she tells him she needs Black Lightning's help in escorting meta refugees out of the perimeter; Gambi implores Lynn to help get him access to the pit; Jennifer grows closer to Brandon.,6.8
Stranger Thngs,2016,2016,TV14,98 mn,Drama, Fantasy, Horror,"['Matt Duffer, ', 'Ross Duffer', '| ', '    Stars:', 'Wnona Ryder, ', 'Davd Harbour, ', 'Mlle Bobby Brown, ', 'Fnn Wolfhard']","36,276","When Gina gets in a violent brawl with her pimp, Coral and Wendy come to her rescue, sparking an astonishing chain of events.",6.9
Stranger Thngs,2016,2016,TV14,85 mn,Drama, Fantasy, Horror,"['Matt Duffer, ', 'Ross Duffer', '| ', '    Stars:', 'Wnona Ryder, ', 'Davd Harbour, ', 'Mlle Bobby Brown, ', 'Fnn Wolfhard']","18,702","As a shocking side effect of his romance with Chloe throws Lucifer for a loop, the new couple pursues a murderer with a most unusual M.O.",8.9
The Salsbury Posonngs,2020,2020,TV14,56 mn,Drama, Hstory, Thrller,"['Saul Dbb', '| ', '    Stars:', 'Sopha Ally, ', 'MyAnna Burng, ', 'Wayne Swann, ', 'Jll Wnterntz']",310,Chloe learns a serial killer may have embellished his crimes. Amenadiel worries about his son's health. Pete opens up to Ella.,9.3
The Salsbury Posonngs,2020,2020,TV14,59 mn,Drama, Hstory, Thrller,"['Saul Dbb', '| ', '    Stars:', 'AnneMare Duff, ', 'Judah Cousn, ', 'Annabel Scholey, ', 'Rafe Spall']",276,"Chloe and Lucifer investigate a minigolf murder. Lucifer, Michael, Amenadiel and Linda prepare for the holiest of family dinners.",8.3
The Salsbury Posonngs,2020,2020,TV14,59 mn,Drama, Hstory, Thrller,"['Saul Dbb', '| ', '    Stars:', 'Rafe Spall, ', 'Annabel Scholey, ', 'AnneMare Duff, ', 'Judah Cousn']",248,"Lucifer's father  you know, God  decides to experience life as a regular human. Meanwhile, a boxer dies under mysterious circumstances.",8.3
The Dragon Prnce,2018,2018,TVY7,,Anmaton, Acton, Adventure,"['Vllads Spangsberg', '| ', '    Stars:', 'Rena Anakwe, ', 'Paula Burrows, ', 'Jack De Sena, ', 'Erk Dellums']",557,"A straightforward prisoner transport job turns into an increasingly dangerous, yet oddly invigorating, odyssey for Dan.",8.2
Vagabond,2019,2019,,,Acton, Mystery, Thrller,"['Yu nsk', '| ', '    Stars:', 'Lee Seungg, ', 'Bae Suzy, ', 'Seongrok Sn, ', 'Moon JeongHee']",135,Linda throws herself into a deeply personal mission. Maze unmasks a blast from the past. Amenadiel ponders a new job.,8.1
Vagabond,2019,2019,,,Acton, Mystery, Thrller,"['Yu nsk', '| ', '    Stars:', 'Lee Seungg, ', 'Bae Suzy, ', 'Seongrok Sn, ', 'Moon JeongHee']",187,Lucifer angles to be his father's successor. Ella makes a painful confession. Chloe investigates a murder at an aquarium.,8.7
Avatar: The Last Arbender,2005,20052008,TVY7,25 mn,Anmaton, Acton, Adventure,"['Ethan Spauldng', '| ', '    Stars:', 'Zach Tyler Esen, ', 'Mae Whtman, ', 'Jack De Sena, ', 'Mchaela Jll Murphy']","4,740","Lucifer learns that not all of his siblings want him to land the big promotion. Also, Dan offers to set Ella up with an old friend.",9.2
The Serpent,2021,2021,TVMA,58 mn,Crme, Drama, Thrller,"['Tom Shankland', '| ', '    Stars:', 'Blly Howle, ', 'Kenneth Won, ', 'Jenna Coleman, ', 'Elle de Lange']",916,"When Makoto presses him about his feelings toward Akira and Koharu, Haruo flees. Out on the streets, he's abducted by a group of men in suits.",7.8
The Serpent,2021,2021,TVMA,58 mn,Crme, Drama, Thrller,"['Tom Shankland', '| ', '    Stars:', 'Faben Frankel, ', 'Gg Velctat, ', 'Mara Mellblom, ', 'Tahar Rahm']",903,"The planet's current rate of meat consumption is unprecedented  and becoming unsustainable. In the future, will meat alternatives be the answer?",8.1
The Serpent,2021,2021,TVMA,58 mn,Crme, Drama, Thrller,"['Tom Shankland', '| ', '    Stars:', 'Grégore svarne, ', 'Blly Howle, ', 'Elle Bamber, ', 'Teeradech Tsanuruk']",816,Residents begin receiving more mysterious videotapes on their doorsteps; The seniors of Riverdale High eagerly await their college decision letters.,7.6
The Serpent,2021,2021,TVMA,55 mn,Crme, Drama, Thrller,"['Hans Herbots', '| ', '    Stars:', 'Mathlde Warner, ', 'Elle Bamber, ', 'Blly Howle, ', 'Tahar Rahm']",802,"Koharu challenges Akira to a Super Street Fighter II X match. For her, there's more riding on this game than which of them is the arcade champion.",7.7
The Serpent,2021,2021,TVMA,56 mn,Crme, Drama, Thrller,"['Hans Herbots', '| ', '    Stars:', 'Cathy Mn Jung, ', 'Tahar Rahm, ', 'Stacy Martn, ', 'Amesh Edreweera']",750,"Blake's trial begins, and every Carrington and family associate gets pulled into the fray.",8.3
The Serpent,2021,2021,TVMA,55 mn,Crme, Drama, Thrller,"['Hans Herbots', '| ', '    Stars:', 'Jenna Coleman, ', 'Tahar Rahm, ', 'Blly Howle, ', 'Apasr Kulthanan']",724,Hemberg orders Kurt to take some time off after the assassination of their chief suspect. The public considers the case closed but Kurt keeps probing.,7.3
H Score Grl,2018,20182019,TVPG,25 mn,Anmaton, Comedy, Romance,"['Yoshnobu Yamakawa', '| ', '    Stars:', 'Kôhe Amasak, ', 'Sayum Suzushro, ', 'Yûk Hrose, ', 'Chnatsu Akasak']",59,"Suspicious of Gustav's ties to the case, Kurt jeopardizes his romance with Mona by confronting the billionaire at a blacktie, Munck family affair.",7.3
Dynasty,2017,20172022,TVPG,42 mn,Drama,,,"['Matt Earl Beesley', '| ', '    Stars:', 'Elzabeth Glles, ', 'Danella Alonso, ', 'Rafael de la Fuente, ', 'Sam Underwood']",433,"Kurt, Rask and Hemberg try to connect their new suspect to a shipment of plastic explosive  and determine where and when the bomb will go off.",7.2
The Umbrella Academy,2019,20192023,TV14,47 mn,Acton, Adventure, Comedy,"['Amanda Marsals', '| ', '    Stars:', 'Ellot Page, ', 'Tom Hopper, ', 'Davd Castañeda, ', 'Emmy RaverLampman']","3,734",Paulina looks into her family's past and starts asking questions about Pato. Julián and Elena team up to try and free Diego. Delia seeks revenge.,8.3
The Umbrella Academy,2019,20192023,TV14,40 mn,Acton, Adventure, Comedy,"['Amanda Marsals', '| ', '    Stars:', 'Ellot Page, ', 'Tom Hopper, ', 'Davd Castañeda, ', 'Emmy RaverLampman']","3,929",Duggee and the Squirrels bake a pie and learn how to share by dividing things equally.,
Johnny Test,2005,20052014,TVY7,23 mn,Anmaton, Acton, Adventure,"['Larry Jacobs', '| ', '    Stars:', 'James Arnold Taylor, ', 'Lous Chrllo, ', 'Maryke Hendrkse, ', 'Ashlegh Ball']",32,Tony is pumped when his legendary cousin Dom recruits him and his friends for an exciting mission: to infiltrate a secret street racing circuit.,6.6
Vrgn Rver,2019,2019,TV14,45 mn,Drama, Romance,,"['Andy Mkta', '| ', '    Stars:', 'Alexandra Breckenrdge, ', 'Martn Henderson, ', 'Coln Lawrence, ', 'Benjamn Hollngsworth']",497,"When Dash finds an unmarked, red notebook in his favorite bookshop, he must follow a series of clues to figure out who the mysterious writer might be.",7.6
Vrgn Rver,2019,2019,TV14,44 mn,Drama, Romance,,"['Gal Harvey', '| ', '    Stars:', 'Alexandra Breckenrdge, ', 'Martn Henderson, ', 'Coln Lawrence, ', 'Benjamn Hollngsworth']",425,"Lily loves Christmas, but the prospect of a lonely holiday inspires her to connect with Dash through a notebook  and send him on another dare.",7.7
Vrgn Rver,2019,2019,TV14,44 mn,Drama, Romance,,"['Andy Mkta', '| ', '    Stars:', 'Alexandra Breckenrdge, ', 'Martn Henderson, ', 'Coln Lawrence, ', 'Lauren Hammersley']",481,"After Lily shares the memory of her worst Christmas ever, Dash devises a latenight challenge that pushes her far outside her comfort zone.",7.6
Vrgn Rver,2019,2019,TV14,43 mn,Drama, Romance,,"['Gal Harvey', '| ', '    Stars:', 'Alexandra Breckenrdge, ', 'Martn Henderson, ', 'Coln Lawrence, ', 'Benjamn Hollngsworth']",419,"When Dash discovers Lily didn't leave the notebook in their prearranged spot, he tries to track her down using the unique footwear she left behind.",7.8
Vrgn Rver,2019,2019,TV14,48 mn,Drama, Romance,,"['Martn Wood', '| ', '    Stars:', 'Alexandra Breckenrdge, ', 'Martn Henderson, ', 'Coln Lawrence, ', 'Benjamn Hollngsworth']",393,"As Dash and Lily forge a deeper connection with dares involving mochi and a Muppet, they deal with past heartbreaks and family issues.",7.5
Grace and Franke,2015,20152022,TVMA,28 mn,Comedy,,,"['Alex Hardcastle', '| ', '    Stars:', 'Jane Fonda, ', 'Lly Tomln, ', 'Sam Waterston, ', 'Martn Sheen']",347,Reallife distractions complicate Dash and Lily's letterbased relationship when they both decide to attend a holiday party with other people.,7.8
Jamtara: Sabka Number Ayega,2020,2020,,34 mn,Crme,,,"['Soumendra Padh', '| ', '    Stars:', 'Amt Sal, ', 'Dbyendu Bhattacharya, ', 'Aksha Pardasany, ', 'Sparsh Srvastav']",158,Lily's problems pile up after a dreary Christmas morning and an enlightening pun lead her to question everything she knows about Dash.,7.7
13 Reasons Why,2017,20172020,TVMA,59 mn,Drama, Mystery, Thrller,"['Mchael Sucsy', '| ', '    Stars:', 'Dylan Mnnette, ', 'Grace Saf, ', 'Chrstan Navarro, ', 'Alsha Boe']","1,868","With the year's final hours ticking down, Dash does some soulsearching and comes to a decision about Lily, unaware that her life is about to change.",8
The Dragon Prnce,2018,2018,TVY7,,Anmaton, Acton, Adventure,"['Vllads Spangsberg', '| ', '    Stars:', 'Paula Burrows, ', 'Sasha Rojen, ', 'Racquel Belmonte, ', 'Jesse nocalla']",525,"Paris, 1897. Spirits are high at the ""Bazar de la Charité"", a vast charity sales event attended by high society, when the building suddenly catches fire. Alice de Jeansin and her ...                See full summary »",7.9
Super Monsters,2017,2017,TVY,23 mn,Anmaton, Adventure, Comedy,"['Gg Saul Guerrero, ', 'Elyse Maloway']",68,"Alice has to cope with the death of Rose and the cowardice of her fiancé Julien. Little does she know that against all odds, Rose has survived and been taken out of the hospital by Thomas' ...                See full summary »",7.5
Anne wth an E,2017,20172019,TVPG,44 mn,Drama, Famly,,"['Amanda Tappng', '| ', '    Stars:', 'Amybeth McNulty, ', 'Geraldne James, ', 'R.H. Thomson, ', 'Lucas Jade Zumann']","2,488","Afflicted by fainting spells, parttime cleaner Meryem confides in psychologist Peri  but she's reluctant to reveal one detail.",8.4
The Dragon Prnce,2018,2018,TVY7,,Anmaton, Acton, Adventure,"['Vllads Spangsberg', '| ', '    Stars:', 'Rena Anakwe, ', 'Racquel Belmonte, ', 'Paula Burrows, ', 'Brenda Crchlow']",529,"When rapper Thugnificent moves in across the street, Granddad complains about the nonstop noise and partying, leading Thugnificent to record a new song, ""Eff Granddad.""",7.8
The Boondocks,2005,20052014,TVMA,21 mn,Anmaton, Acton, Comedy,"['Seung Eun Km', '| ', '    Stars:', 'Regna Kng, ', 'John Wtherspoon, ', 'Cedrc Yarbrough, ', 'Gary Anthony Wllams']",387,"Alice loses her virginity with Victor, and then learns he was responsible for the fire at the charity bazaar. Rose takes on the identity of Odette, helped by Thomas, who understands that ...                See full summary »",7.3
The Dragon Prnce,2018,2018,TVY7,,Anmaton, Acton, Adventure,"['Vllads Spangsberg', '| ', '    Stars:', 'Racquel Belmonte, ', 'Paula Burrows, ', 'Jack De Sena, ', 'Erk Dellums']",522,"Anger and grief heighten tensions between the group. The Professor, while in mourning, attempts to make a daring and dangerous escape.",7.3
Lucfer,2016,20162021,TV14,56 mn,Crme, Drama, Fantasy,"['Rchard Speght Jr.', '| ', '    Stars:', 'Tom Ells, ', 'Lauren German, ', 'Kevn Alejandro, ', 'D.B. Woodsde']","3,832","Allison gives Ray a peek at her powers. Dave visits Klaus's compound. The Handler offers Five a deal, and the siblings meet their father for dinner.",8.3
The Dragon Prnce,2018,2018,TVY7,,Anmaton, Acton, Adventure,"['Vllads Spangsberg', '| ', '    Stars:', 'Racquel Belmonte, ', 'Paula Burrows, ', 'Jack De Sena, ', 'Erk Dellums']",540,"After Five travels to 1982 to carry out his new mission, the siblings face a flurry of difficult decisions. Meanwhile, Carl issues a warning to Vanya.",8.4
H Score Grl,2018,20182019,TVPG,25 mn,Anmaton, Comedy, Romance,"['Yoshnobu Yamakawa', '| ', '    Stars:', 'Kôhe Amasak, ', 'Sayum Suzushro, ', 'Yûk Hrose, ', 'Chnatsu Akasak']",50,"Reeling from the events at Dealey Plaza, the siblings head to the farm to help save Harlan  only to find themselves drawn into a deadly showdown.",8.9
The Mnons of Mdas,2020,2020,TVMA,49 mn,Crme, Drama, Thrller,"['Mateo Gl', '| ', '    Stars:', 'Lus Tosar, ', 'Marta Belmonte, ', 'Gullermo Toledo, ', 'Carlos Blanco']",175,"After declaring war on Hiram, Veronica enlists a secret weapon; Archie and FP team up to take Dodger down for good; Jughead's search for his grandfather leads to more questions than answers.",7.2
The Mnons of Mdas,2020,2020,TVMA,53 mn,Crme, Drama, Thrller,"['Mateo Gl', '| ', '    Stars:', 'Lus Tosar, ', 'Marta Belmonte, ', 'Gullermo Toledo, ', 'Carlos Blanco']",147,"As Sofiane experiments with his new powers, Victor discovers he has a gift of his own. School counselor Audrey investigates a troubling trend.",7.9
The Mnons of Mdas,2020,2020,TVMA,51 mn,Crme, Drama, Thrller,"['Mateo Gl', '| ', '    Stars:', 'Lus Tosar, ', 'Marta Belmonte, ', 'Gullermo Toledo, ', 'Carlos Blanco']",136,"After exposing the source of the video, Sofiane and Victor zero in on a new suspect, and Luisa gets a terrifying glimpse of their powers.",6.9
The Mnons of Mdas,2020,2020,TVMA,55 mn,Crme, Drama, Thrller,"['Mateo Gl', '| ', '    Stars:', 'Lus Tosar, ', 'Marta Belmonte, ', 'Gullermo Toledo, ', 'Carlos Blanco']",120,A journey into a classmate's mind leaves Victor traumatized. Luisa uses Voodoo to help Sofiane track down the house from Reda's video.,7.3
The Mnons of Mdas,2020,2020,TVMA,51 mn,Crme, Drama, Thrller,"['Mateo Gl', '| ', '    Stars:', 'Lus Tosar, ', 'Marta Belmonte, ', 'Gullermo Toledo, ', 'Carlos Blanco']",132,"With their lives spiraling out of control, Victor and Sofiane set out to confront the killer, and Luisa hatches a plan to banish Obé.",7.3
The Mnons of Mdas,2020,2020,TVMA,57 mn,Crme, Drama, Thrller,"['Mateo Gl', '| ', '    Stars:', 'Lus Tosar, ', 'Marta Belmonte, ', 'Gullermo Toledo, ', 'Carlos Blanco']",133,Black Lightning goes up against the ASA; Tobias continues to manipulate Lynn.,7.2
Explaned,2018,2018,TVMA,,Documentary,,,"['Natasha Lyonne, ', 'Lauren Benton, ', 'Justn Dunnavant, ', 'Peter Leeson']",291,"Beauty may be in the eye of the beholder, but what exactly makes things such as art and architecture aesthetically pleasing, and why do we like looking?",7.2
Magc for Humans,2018,2018,TVPG,,Comedy, RealtyTV,,"['Adam Frankln', '| ', '    Stars:', 'Justn Wllman, ', 'Susan Sarandon, ', 'Harrson Taylor, ', 'Zoey Gale']",85,"Rumors about the night of the party send Luisa on a desperate quest for answers, and drive a wedge between Victor and Sofiane.",7.8
Magc for Humans,2018,2018,TVPG,,Comedy, RealtyTV,,"['Adam Frankln', '| ', '    Stars:', 'Justn Wllman, ', 'Mercedes Garca']",74,"In the throes of emotional crisis, three generations of women reunite and reclaim what's left of their motherdaughter memories  for better or worse.",6.2
Magc for Humans,2018,2018,TVPG,,Comedy, RealtyTV,,"['Adam Frankln', '| ', '    Stars:', 'Justn Wllman, ', 'Ayla Rae Neal, ', 'Eljah Van Zanten']",70,"The family prepares for a festive feast, Vivi faces a former flame, Lara looks to the future and Sonja's past comes to light.",6.5
Magc for Humans,2018,2018,TVPG,,Comedy, RealtyTV,,"['Adam Frankln', '| ', '    Stars:', 'Justn Wllman, ', 'Ryan Wcks, ', 'Sarah Jarman, ', 'Lern Abdo']",67,Add a Plot,6.3
Magc for Humans,2018,2018,TVPG,,Comedy, RealtyTV,,"['Adam Frankln', '| ', '    Stars:', 'Justn Wllman, ', 'Grffn Kramer, ', 'Mchelle Murad, ', 'Chandler Bolnck']",62,Add a Plot,6.6
Magc for Humans,2018,2018,TVPG,,Comedy, RealtyTV,,"['Adam Frankln', '| ', '    Stars:', 'Justn Wllman, ', 'Mateo Ray Garca, ', 'Rachel Peper Decker, ', 'Jennfer Chow']",76,"A sudden revelation brings the whole game together for a day of celebration, mischief and romantic mayhem.",6.9
Cable Grls,2017,20172020,TVMA,,Drama,,,"['Antono Hernández', '| ', '    Stars:', 'Blanca Suárez, ', 'Yon González, ', 'Ana Fernández, ', 'Nada de Santago']",103,Add a Plot,6.9
Cable Grls,2017,20172020,TVMA,,Drama,,,"['Antono Hernández', '| ', '    Stars:', 'Blanca Suárez, ', 'Yon González, ', 'Ana Fernández, ', 'Nada de Santago']",98,Meth smugglers and law enforcement officials play a high stakes game of cat and mouse around Phoenix and the USMexico border.,7
Cable Grls,2017,20172020,TVMA,,Drama,,,"['Manuel Gómez Perera', '| ', '    Stars:', 'Blanca Suárez, ', 'Yon González, ', 'Ana Fernández, ', 'Nada de Santago']",99,"Follow the flow of smuggled hash as criminals transport it from Morocco, across the Strait of Gibraltar, up the cost of Spain and into France.",7
Cable Grls,2017,20172020,TVMA,,Drama,,,"['Antono Hernández', '| ', '    Stars:', 'Blanca Suárez, ', 'Yon González, ', 'Ana Fernández, ', 'Nada de Santago']",116,"In the poorest areas of Rio de Janeiro, elite teams of police officers risk their lives fighting brutal drug gangs with nothing to lose.",7.5
